date,engine,policy_multiplier,policy_state,stress_percentile,stress_value
2020-12-06,trend,1,ON,0.00000000,0
2020-12-06,vrp,1,ON,0.00000000,0
2020-12-07,trend,1,ON,0.00000000,0
2020-12-07,vrp,1,ON,0.00000000,0
2020-12-08,trend,1,ON,0.00000000,0
2020-12-08,vrp,1,ON,0.00000000,0
2020-12-09,trend,1,ON,0.00000000,0
2020-12-09,vrp,1,ON,0.00000000,0
2020-12-10,vrp,1,ON,0.00000000,0
2020-12-10,trend,1,ON,0.00000000,0
2020-12-11,trend,1,ON,0.00000000,0
2020-12-11,vrp,1,ON,0.00000000,0
2020-12-13,trend,1,ON,0.00000000,0
2020-12-13,vrp,1,ON,0.00000000,0
2020-12-14,trend,1,ON,0.00000000,0
