date,SR3_SPREAD_R4_R3
2023-02-23,-0.00015823463304143193
2023-02-24,-0.0001315962626662337
2023-02-26,2.6315789473652096e-05
2023-02-27,7.914093955330159e-05
2023-02-28,-7.903894020921953e-05
2023-03-01,-7.932823759504437e-05
2023-03-02,9.993335647884294e-08
2023-03-03,7.895152376447001e-05
2023-03-05,5.2638505066426866e-05
2023-03-06,-0.00015838880796770205
2023-03-07,-0.0002660722124906423
2023-03-08,0.00018425614343886565
2023-03-09,-0.00020995104555554533
2023-03-10,0.0005561645507403679
2023-03-12,0.00018593535294986197
2023-03-13,0.0018205948042506748
2023-03-14,0.0004981352312731779
2023-03-15,0.0022874331709648033
2023-03-16,0.0019598463285750434
2023-03-17,-0.0011294581635152845
2023-03-19,-0.001049235369724455
2023-03-20,0.0011520651260712444
2023-03-21,0.0011268046713297508
2023-03-22,-0.00013143781921409747
2023-03-23,-0.0007356901506685443
2023-03-24,0.000157826484175283
2023-03-26,-0.0
2023-03-27,0.0004977497132002684
2023-03-28,5.262599572053439e-05
2023-03-29,0.00010511378218724943
2023-03-30,5.254306790281049e-05
2023-03-31,0.00028923150478687987
2023-04-02,5.252643762576614e-05
2023-04-03,2.6302638154618307e-05
2023-04-04,0.00031577281909922483
2023-04-05,-5.255412291016448e-05
2023-04-06,2.6209360827422756e-05
2023-04-07,0.00039427128691293944
2023-04-09,0.0
2023-04-10,-4.4307337132565294e-08
2023-04-11,1.1081498829668135e-08
2023-04-12,5.262603936440069e-05
2023-04-13,0.00010528255008024345
2023-04-14,-0.00026316620221633613
2023-04-16,0.0
2023-04-17,-0.00018439348835641578
2023-04-18,2.6356003880234624e-05
2023-04-19,0.0004211259417953306
2023-04-20,0.00013176063577824415
2023-04-21,0.00013169192530959606
2023-04-23,-5.268148772519243e-05
2023-04-24,0.0002634268667314199
2023-04-25,0.0002634296258461344
2023-04-26,0.00015794184269291023
2023-04-27,-7.900972876628831e-05
2023-04-28,2.6385849064336497e-05
2023-04-30,0.000157994522856586
2023-05-01,-7.903332622083425e-05
2023-05-02,0.0005270994758546088
2023-05-03,2.6495259586534203e-05
