date,equity
2023-06-08,-2.5660767187751078e-33
2023-06-09,-2.5818218993460786e-33
2023-06-11,-2.5956136829964268e-33
2023-06-12,-2.5643334815566543e-33
2023-06-13,-2.612247475765717e-33
2023-06-14,-2.6188248195780062e-33
2023-06-15,-2.5913492567274117e-33
2023-06-16,-2.6064873323435697e-33
2023-06-18,-2.6083000150712698e-33
2023-06-19,-2.6194668110768132e-33
2023-06-20,-2.581320715086917e-33
2023-06-21,-2.4041783312241318e-33
2023-06-22,-2.439377100917356e-33
2023-06-23,-2.4023079138513854e-33
2023-06-25,-2.389328826000799e-33
2023-06-26,-2.4076207179530202e-33
2023-06-27,-2.4380442166601474e-33
2023-06-28,-2.411881028814215e-33
2023-06-29,-2.4650035922080056e-33
2023-06-30,-2.493681470637106e-33
2023-07-02,-2.5079055464062776e-33
2023-07-03,-2.6722681457907143e-33
2023-07-04,-2.6502652511675565e-33
2023-07-05,-2.703516790030127e-33
2023-07-06,-2.685144462129236e-33
2023-07-07,-2.6684136580596154e-33
2023-07-09,-2.663267247918707e-33
2023-07-10,-2.6323641631013127e-33
2023-07-11,-2.658719015680636e-33
2023-07-12,-2.6022537065484913e-33
2023-07-13,-2.616870798205104e-33
2023-07-14,-2.6450636634344103e-33
2023-07-16,-2.6397840952439198e-33
2023-07-17,-2.6199270666746273e-33
2023-07-18,-2.639127513329651e-33
2023-07-19,-2.477871458037785e-33
2023-07-20,-2.5260894972212245e-33
2023-07-21,-2.5422865547077413e-33
2023-07-23,-2.5449739612137723e-33
2023-07-24,-2.5706612980611463e-33
2023-07-25,-2.5679946369635747e-33
2023-07-26,-2.5301050731887393e-33
2023-07-27,-2.6198264787927095e-33
2023-07-28,-2.581248374885878e-33
2023-07-30,-2.5839149537855513e-33
2023-07-31,-2.7695242962335425e-33
2023-08-01,-2.7536505454175827e-33
2023-08-02,-2.730154296920985e-33
2023-08-03,-2.7408293870360284e-33
2023-08-04,-2.7197578290387147e-33
2023-08-06,-2.738570383192143e-33
2023-08-07,-2.7225614169212617e-33
2023-08-08,-2.722435243433884e-33
2023-08-09,-2.7469514997579392e-33
2023-08-10,-2.7607477730467465e-33
2023-08-11,-2.759438683276664e-33
2023-08-13,-2.752158429260152e-33
2023-08-14,-2.7712622160373117e-33
2023-08-15,-2.751615894664425e-33
2023-08-16,-2.6363578695801314e-33
2023-08-17,-2.6574705614993883e-33
2023-08-18,-2.65973483798516e-33
2023-08-20,-2.657515248499685e-33
2023-08-21,-2.6612661260793123e-33
2023-08-22,-2.6724290641301703e-33
2023-08-23,-2.6546833484126984e-33
2023-08-24,-2.6629618471645918e-33
2023-08-25,-2.678655673354283e-33
2023-08-27,-2.681651641436802e-33
2023-08-28,-2.667833898071306e-33
2023-08-29,-2.6511755074547298e-33
2023-08-30,-2.640533500895278e-33
2023-08-31,-2.6470851224567327e-33
2023-09-01,-2.6622677270884602e-33
2023-09-03,-2.6573376016679304e-33
2023-09-04,-2.6757705129279775e-33
2023-09-05,-2.6762644233268107e-33
2023-09-06,-2.6964765552498728e-33
2023-09-07,-2.6670316671970898e-33
2023-09-08,-2.6834059734429224e-33
2023-09-10,-2.693638073462353e-33
2023-09-11,-2.6722225909768976e-33
2023-09-12,-2.699901024689543e-33
2023-09-13,-2.6793176229868386e-33
2023-09-14,-2.6998637538736672e-33
2023-09-15,-2.714484864772331e-33
2023-09-17,-2.716500056338478e-33
2023-09-18,-2.7148102402543808e-33
2023-09-19,-2.7336058542593547e-33
2023-09-20,-2.647306157383574e-33
2023-09-21,-2.6106418170704037e-33
2023-09-22,-2.5940684629489007e-33
2023-09-24,-2.5940684629489007e-33
2023-09-25,-2.6019372247171988e-33
2023-09-26,-2.6041496599565593e-33
2023-09-27,-2.626380396958491e-33
2023-09-28,-2.6141713058734306e-33
2023-09-29,-2.6076355185675788e-33
2023-10-01,-2.6178835341906283e-33
2023-10-02,-2.771367810914693e-33
